label	sms
0	Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.
1	Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
0	Shall call now dear having food
0	Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love
1	This is the 2nd attempt to contract U, you have won this weeks top prize of either å£1000 cash or å£200 prize. Just call 09066361921
0	What you doing?how are you?
0	Oh oh... Den muz change plan liao... Go back have to yan jiu again...
0	Sorry, I'll call later
0	Excellent! Are you ready to moan and scream in ecstasy?
0	Finish already... Yar they keep saying i mushy... I so embarrassed ok...
0	See? I thought it all through
0	It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
0	\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R
0	Didn't try, g and I decided not to head out
0	Ok lor wat time Ì_ finish?
1	As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr
0	Thanks. It was only from tescos but quite nice. All gone now. Speak soon 
1	Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
0	Lol alright i was thinkin that too haha
0	Probably gonna swing by in a wee bit
0	Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.
0	4 oclock at mine. Just to bash out a flat plan.
0	Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
0	I will see in half an hour
0	Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
1	FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end
0	Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
0	Wish i were with you now!
0	Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
0	Well if I'm that desperate I'll just call armand again
0	Were gonna go get some tacos
0	If I die I want u to have all my stuffs.
0	Be happy there. I will come after noon
0	My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...
0	Hai priya are you right. What doctor said pa. Where are you.
0	Yup i shd haf ard 10 pages if i add figures... ÌÏ all got how many pages?
0	I will be outside office take all from there
0	Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.
0	Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
0	How do you guys go to see movies on your side.
0	Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
0	Yetunde i'm in class can you not run water on it to make it ok. Pls now.
0	What was she looking for?
0	Ok thanx...
0	Like a personal sized or what
0	All e best 4 ur driving tmr :-)
0	Play w computer? Aiyah i tok 2 u lor?
0	Sorry about that this is my mates phone and i didnt write it love Kate
1	December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
0	No pic. Please re-send.
0	No calls..messages..missed calls
0	Still i have not checked it da. . .
0	I can't make it tonight
0	"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)"""
0	I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?
0	Dunno lei he neva say...
1	Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
0	Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
1	Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service
0	I cant pick the phone right now. Pls send a message
1	FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
0	Do you know when the result.
0	U still havent got urself a jacket ah?
0	Who u talking about?
1	Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.
0	Thank you baby! I cant wait to taste the real thing...
0	Nah, Wednesday. When should I bring the mini cheetos bag over?
0	My sister got placed in birla soft da:-)
0	Whats the staff name who is taking class for us?
1	"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
0	Went to ganesh dress shop
0	Miss ya, need ya, want ya, love ya.
0	Lmao. Take a pic and send it to me.
0	Sorry, I'll call later ok bye
0	Yup i'm elaborating on the safety aspects and some other issues..
0	The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
1	Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468
0	Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!
0	With my sis lor... We juz watched italian job.
0	What happen to her tell the truth
0	What is the plural of the noun research?
0	Going to take your babe out ?
0	Honey boo I'm missing u.
0	Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..
1	Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324
0	Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
0	Thought praps you meant another one. Goodo! I'll look tomorrow 
0	Reverse is cheating. That is not mathematics.
1	WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
0	Yeah just open chat and click friend lists. Then make the list. Easy as pie
0	I AM AT THE GAS STATION. GO THERE.
0	Did u find out what time the bus is at coz i need to sort some stuff out.
0	Hahaha..use your brain dear
0	Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again
0	Trust me. Even if isn't there, its there.
0	1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya
0	No need for the drug anymore.
0	This is all just creepy and crazy to me.
0	Me too baby! I promise to treat you well! I bet you will take good care of me...
0	Lol for real. She told my dad I have cancer
1	As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
0	Ok lar... Joking wif u oni...
1	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k
0	I'm reaching home in 5 min.
0	Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel 
0	Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.
0	Also track down any lighters you can find
0	Am not interested to do like that.
0	S:-)if we have one good partnership going we will take lead:)
0	S but not able to sleep.
1	FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop
0	Please da call me any mistake from my side sorry da. Pls da goto doctor.
0	When Ì_ login dat time... Dad fetching Ì_ home now?
0	Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.
0	I have printed it oh. So  &lt;#&gt;  come upstairs
0	O shore are you takin the bus
0	I said its okay. Sorry
0	How come i din c Ì_... Yup i cut my hair...
0	Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...
0	I dont want to hear philosophy. Just say what happen
0	I am waiting machan. Call me once you free.
0	Webpage s not available!
0	Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always
0	How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.
0	Hey we can go jazz power yoga hip hop kb and yogasana 
0	Shall i send that exe to your mail id.
0	Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
0	Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.
0	Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
0	How are you holding up?
0	;-) ok. I feel like john lennon.
0	Moji just informed me that you saved our lives. Thanks.
0	Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; 
0	Greetings me, ! Consider yourself excused.
0	at bruce b downs &amp; fletcher now
0	Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
0	No shoot me. I'm in the docs waiting room. :/
0	I was gonna ask you lol but i think its at 7
0	Just sent it. So what type of food do you like?
1	FREE entry into our å£250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
0	No da if you run that it activate the full version da.
0	Its ok, called mom instead have fun
0	Huh so late... Fr dinner?
0	Did either of you have any idea's? Do you know of anyplaces doing something?
0	Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts
0	Ok lor... But buy wat?
0	Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
0	Alex says he's not ok with you not being ok with it
0	Mine here like all fr china then so noisy.
0	Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
0	That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. 
0	I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.
0	Nope. I just forgot. Will show next week
1	Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop
0	IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
0	Ya tel, wats ur problem..
1	Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088
0	Sac will score big hundred.he is set batsman:-)
0	I dont knw pa, i just drink milk..
0	I can make lasagna for you... vodka...
0	Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
0	I did. One slice and one breadstick. Lol
1	44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
0	Was it something u ate?
0	Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do
0	So u workin overtime nigpun?
1	Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
1	URGENT! Your mobile No *********** WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm
0	We're all getting worried over here, derek and taylor have already assumed the worst
0	Reckon need to be in town by eightish to walk from * carpark.
0	Thanks da thangam, i feel very very happy dear. I also miss you da.
0	Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
0	Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
0	How much r Ì_ willing to pay?
0	I'm going for bath will msg you next  &lt;#&gt;  min..
0	Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
0	I need an 8th but I'm off campus atm, could I pick up in an hour or two?
0	Where are you?when wil you reach here?
0	Ok how you dear. Did you call chechi
0	Kallis wont bat in 2nd innings.
0	Is there any training tomorrow?
0	K I'll head out in a few mins, see you there
0	Jay told me already, will do
0	If e timing can, then i go w u lor...
1	Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16
0	Also that chat was awesome but don't make it regular unless you can see her in person
0	Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..
0	Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?
0	I'm done. C Ì_ there.
0	Early bird! Any purchases yet?
0	Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
0	If I get there before you after your ten billion calls and texts so help me god
0	What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
0	Jos ask if u wana meet up?
0	So u wan 2 come for our dinner tonight a not?
0	My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...
0	Have your lunch and come quickly and open the door:)
0	Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...
0	(And my man carlos is definitely coming by mu tonight, no excuses)
0	Hi di is yijue we're meeting at 7 pm at esaplanade tonight.
0	Thanx a lot...
0	Dai  &lt;#&gt;  naal eruku.
0	I am in hospital da. . I will return home in evening
1	SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
0	Geeeee ... Your internet is really bad today, eh ?
1	Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
1	This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate
0	Hi:)did you asked to waheeda fathima about leave?
0	ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*
0	No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
0	So how are you really. What are you up to. How's the masters. And so on.
0	What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother
0	You should change your fb to jaykwon thuglyfe falconerf
0	not that I know of, most people up here are still out of town
0	Hey , is * rite u put åÈ10 evey mnth is that all?
0	For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
1	WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm 
0	I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
0	I'm not sure, I was just checking out what was happening around the area
0	Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?
0	Hiya, had a good day? Have you spoken to since the weekend?
0	Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs
0	Arms fine, how's Cardiff and uni? 
0	Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
0	So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
0	Many times we lose our best ones bcoz we are 
0	Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!
0	Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday
0	What do u reckon as need 2 arrange transport if u can't do it, thanks
0	hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?
0	I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?
0	Kinda. First one gets in at twelve! Aah. Speak tomo
0	Nokia phone is lovly..
0	Ew are you one of them?
0	Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
0	I remain unconvinced that this isn't an elaborate test of my willpower
0	whatever, im pretty pissed off.
0	Nobody can decide where to eat and dad wants Chinese
0	Are you being good, baby? :)
1	FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv
0	Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...
0	1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.
0	Mmm so yummy babe ... Nice jolt to the suzy
1	URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins
0	Aiyah u did ok already lar. E nydc at wheellock?
0	Sorry, I'll call later  &lt;#&gt; mins
0	I was about to do it when i texted. I finished a long time ago and showered and er'ything!
0	Full heat pa:-) i have applyed oil pa.
0	My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care
0	By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x
0	Good night my dear.. Sleepwell&amp;Take care
0	Yes but I don't care cause I know its there!
0	Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
0	How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?
0	Ok...
0	Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
0	Just sleeping..and surfing
0	Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
0	I'll talk to the others and probably just come early tomorrow then
0	Kallis is ready for bat in 2nd innings
0	No break time one... How... I come out n get my stuff fr Ì_?
0	Gud mrng dear hav a nice day
0	Got it..mail panren paru..
0	S..antha num corrct dane
0	Okie.. Thanx..
0	Now i'm going for lunch.
0	No. I.ll meet you in the library
0	Whatsup there. Dont u want to sleep
0	Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
0	Does she usually take fifteen fucking minutes to respond to a yes or no question
0	Do have a nice day today. I love you so dearly.
0	Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
1	TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468
0	My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:)
0	Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
0	Happy New Year Princess!
1	Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX
0	Havent.
0	Im sorry bout last nite it wasnåÕt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx
0	Hey happy birthday...
0	Whens your radio show?
0	R u meeting da ge at nite tmr?
0	Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e
0	Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*
0	Prabha..i'm soryda..realy..frm heart i'm sory
0	When are you guys leaving?
0	 said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! 
0	I'll see if I can swing by in a bit, got some things to take care of here firsg
0	I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
0	Oh k.k..where did you take test?
0	No. Did you multimedia message them or e-mail?
0	Now got tv 2 watch meh? U no work today?
0	I have to take exam with march 3
0	Oh...i asked for fun. Haha...take care. Ì_
1	For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
0	She's borderline but yeah whatever.
0	Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...
0	"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\"""""
0	Noice. Text me when you're here
1	Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
0	Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
1	URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
0	i want to grasp your pretty booty :)
0	Yup. Anything lor, if u dun wan it's ok...
0	NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!
0	Sorry, I'll call later
0	V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night
0	Give me a sec to think think about it
0	Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
1	Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8
0	Jus finish blowing my hair. U finish dinner already?
0	Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
0	It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
0	ÌÏ go home liao? Ask dad to pick me up at 6...
0	would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
0	Once free call me sir.
0	Call him and say you not coming today ok and tell them not to fool me like this ok
0	The greatest test of courage on earth is to bear defeat without losing heart....gn tc
0	I sent them. Do you like?
1	I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
0	When u wana see it then
1	URGENT! We are trying to contact U Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
0	* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.
0	How long has it been since you screamed, princess?
0	Will you be here for food
0	Whom you waited for yesterday
0	I attended but nothing is there.
1	Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
0	Sleeping nt feeling well
0	Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
0	Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.
0	Oops my phone died and I didn't even know. Yeah I like it better.
0	So when do you wanna gym?
0	Wish u many many returns of the day.. Happy birthday vikky..
0	 &lt;#&gt;  in mca. But not conform.
1	"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\"""""
0	Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.
0	Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*
0	Lmao!nice 1
0	Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? 
0	Are you the cutest girl in the world or what
0	TaKe CaRE n gET WeLL sOOn
1	Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=
0	Ok I'm gonna head up to usf in like fifteen minutes
0	Good! No, donÛ÷t need any receiptsÛÓwell done! (Û_) Yes, please tell . WhatÛ÷s her number, i could ring her
0	Sorry, I'll call later
1	TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...
1	Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
0	We still on for tonight?
0	Hey, iouri gave me your number, I'm wylie, ryan's friend
0	Oh. U must have taken your REAL Valentine out shopping first.
0	Okey dokey swashbuckling stuff what oh.
1	Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705
0	So i asked how's anthony. Dad. And your bf
0	 came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too.
0	S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
0	Dear :-/ why you mood off. I cant drive so i brother to drive
0	Might ax well im there.
0	Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
0	Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
0	Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
0	Hey anyway i have to :-)
0	Haha, my friend tyler literally just asked if you could get him a dubsack
0	It's that time of the week again, ryan
0	If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
